price,available,advertisers_qty,type,timestamp,curr_from,curr_to,source
6.5,100.0,1,BUY,1729734177,BOB,USDT,binance
6.78,1399.13,1,BUY,1729734177,BOB,USDT,binance
6.8,700.0,1,BUY,1729734177,BOB,USDT,binance
6.86,498.53,1,BUY,1729734177,BOB,USDT,binance
6.89,100.0,1,BUY,1729734177,BOB,USDT,binance
6.9,190.0,1,BUY,1729734177,BOB,USDT,binance
6.91,20000.0,1,BUY,1729734177,BOB,USDT,binance
6.93,220.0,1,BUY,1729734177,BOB,USDT,binance
6.94,141.0,1,BUY,1729734177,BOB,USDT,binance
6.98,3000.0,1,BUY,1729734177,BOB,USDT,binance
7.0,10755.48,6,BUY,1729734177,BOB,USDT,binance
7.07,15000.0,1,BUY,1729734177,BOB,USDT,binance
7.1,4230.0,1,BUY,1729734177,BOB,USDT,binance
7.15,7015.0,1,BUY,1729734177,BOB,USDT,binance
7.2,3000.0,1,BUY,1729734177,BOB,USDT,binance
7.37,1300.0,1,BUY,1729734177,BOB,USDT,binance
7.4,500.0,1,BUY,1729734177,BOB,USDT,binance
7.5,8080.71,3,BUY,1729734177,BOB,USDT,binance
7.8,9987.7,1,BUY,1729734177,BOB,USDT,binance
7.88,5565.49,1,BUY,1729734177,BOB,USDT,binance
7.9,299.02,1,BUY,1729734177,BOB,USDT,binance
8.0,5500.0,3,BUY,1729734177,BOB,USDT,binance
8.2,400.0,1,BUY,1729734177,BOB,USDT,binance
8.36,1000.0,1,BUY,1729734177,BOB,USDT,binance
8.38,2000.0,1,BUY,1729734177,BOB,USDT,binance
8.43,1280.0,1,BUY,1729734177,BOB,USDT,binance
8.5,3700.0,3,BUY,1729734177,BOB,USDT,binance
8.61,118.0,1,BUY,1729734177,BOB,USDT,binance
8.63,2095.63,2,BUY,1729734177,BOB,USDT,binance
9.0,38733.37,5,BUY,1729734177,BOB,USDT,binance
9.25,1000.0,1,BUY,1729734177,BOB,USDT,binance
9.3,9699.28,1,BUY,1729734177,BOB,USDT,binance
9.4,5000.0,1,BUY,1729734177,BOB,USDT,binance
9.5,57054.35,5,BUY,1729734177,BOB,USDT,binance
9.63,39440.05,1,BUY,1729734177,BOB,USDT,binance
9.85,2000.0,1,BUY,1729734177,BOB,USDT,binance
9.98,1777.41,1,BUY,1729734177,BOB,USDT,binance
10.0,54684.5,9,BUY,1729734177,BOB,USDT,binance
10.01,7607.27,1,BUY,1729734177,BOB,USDT,binance
10.1,77894.43,3,BUY,1729734177,BOB,USDT,binance
10.15,100.0,1,SELL,1729734177,USDT,BOB,binance
10.16,72464.22,1,BUY,1729734177,BOB,USDT,binance
10.19,1500.0,1,BUY,1729734177,BOB,USDT,binance
10.2,12229.0,3,BUY,1729734177,BOB,USDT,binance
10.2,3043.91,1,SELL,1729734177,USDT,BOB,binance
10.4,219.73,2,SELL,1729734177,USDT,BOB,binance
10.64,17420.55,6,SELL,1729734177,USDT,BOB,binance
10.65,28354.81,18,SELL,1729734177,USDT,BOB,binance
10.66,37468.69,22,SELL,1729734177,USDT,BOB,binance
10.67,61533.52,13,SELL,1729734177,USDT,BOB,binance
10.68,21734.52,6,SELL,1729734177,USDT,BOB,binance
10.69,206.23,1,SELL,1729734177,USDT,BOB,binance
10.7,22547.77,10,SELL,1729734177,USDT,BOB,binance
10.71,4237.46,1,SELL,1729734177,USDT,BOB,binance
10.74,8557.26,1,SELL,1729734177,USDT,BOB,binance
10.8,35.54,1,SELL,1729734177,USDT,BOB,binance
10.82,2438.0,1,SELL,1729734177,USDT,BOB,binance
10.96,318.36,1,SELL,1729734177,USDT,BOB,binance
11.0,6623.89,3,SELL,1729734177,USDT,BOB,binance
11.01,495.48,1,SELL,1729734177,USDT,BOB,binance
11.04,78.91,1,SELL,1729734177,USDT,BOB,binance
11.1,204.59,1,SELL,1729734177,USDT,BOB,binance
11.4,98.11,1,SELL,1729734177,USDT,BOB,binance
11.5,399.36,1,SELL,1729734177,USDT,BOB,binance
11.54,598.25,1,SELL,1729734177,USDT,BOB,binance
11.61,99.8,1,SELL,1729734177,USDT,BOB,binance
12.5,199.94,1,SELL,1729734177,USDT,BOB,binance
12.8,178.87,1,SELL,1729734177,USDT,BOB,binance
12.9,258.53,1,SELL,1729734177,USDT,BOB,binance
13.2,99.82,1,SELL,1729734177,USDT,BOB,binance
13.6,102.79,1,SELL,1729734177,USDT,BOB,binance
13.72,119.52,1,SELL,1729734177,USDT,BOB,binance
13.8,293.77,2,SELL,1729734177,USDT,BOB,binance
